page,paragraph,sentence,issue_type,original,replacement,confidence,agreement_count,source_agents,reason,protected_reason
1,31,81,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,31,81,grammar,extremely small,tiny,0.73,1,languagetool,Consider using an extreme adjective for ‘small’.,None
1,31,81,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,31,82,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,33,84,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,35,90,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,35,91,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,35,91,spelling,hd,HD,0.78,1,languagetool,Possible spelling mistake found.,None
1,35,91,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,36,95,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,40,103,grammar,all of the,all the,0.73,1,languagetool,Consider removing “of” to be more concise,None
1,41,107,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,41,108,punctuation,all,All,0.75,1,languagetool,This sentence does not start with an uppercase letter.,None
1,44,115,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,44,116,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,50,128,punctuation,where,Where,0.75,1,languagetool,This sentence does not start with an uppercase letter.,None
1,50,130,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,50,131,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,50,131,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,53,135,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,53,135,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,53,135,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,53,135,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,53,135,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,53,135,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,53,136,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,53,136,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,56,145,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,56,145,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,56,146,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,56,148,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,56,148,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,57,151,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,57,151,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,57,151,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,57,151,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,57,151,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,57,153,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,57,154,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,57,155,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,57,156,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,58,157,grammar,As side benefit,As a side benefit,0.80,1,llm,Missing article 'a',None
1,62,164,grammar,sourcetarget,source-target,0.80,1,languagetool|llm,The compound term should be hyphenated.,None
1,64,172,grammar,",(",", (",0.73,1,languagetool,Put a space after the comma.,None
1,66,176,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,66,176,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,66,176,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,66,177,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,67,180,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,70,186,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,70,186,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,71,187,spelling,ε ls,ε_ls,0.80,1,llm,Variable names should not have spaces between characters.,None
1,71,187,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,74,192,grammar,2 . 0,2.0,0.80,1,languagetool|llm,Extra space before decimal point,None
1,74,193,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,74,194,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,74,196,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,75,199,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,75,199,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,75,199,grammar,all of the,all the,0.73,1,languagetool,Consider removing “of” to be more concise,None
1,75,200,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,75,200,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,75,200,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,75,200,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,76,203,grammar,α = 0 . 6,α = 0.6,0.80,1,languagetool|llm,Extra space before the decimal point,None
1,76,206,grammar,"input length + 50 ,","input length + 50,",0.80,1,languagetool|llm,Space after the comma is unnecessary,None
1,84,228,grammar,a small number of,a few,0.73,1,languagetool,"Specify a number, remove phrase, use “a few”, or use “some”",None
1,84,228,grammar,Section,section,0.80,1,llm,Inconsistent capitalization,None
1,84,229,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,84,230,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,85,231,grammar,with the exception of,except,0.73,1,languagetool,Consider using “except” or “except for”,None
1,91,243,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
